event,ID,default,Prepayment,vintage,cred_score,DBT_RATIO,start_date,end_date
1,1201533790799000,1,0,2007,759,0.51,01May2007,01Jan2008
0,1201533815619000,0,0,2009,692,0.32,01Sep2009,
2,1201534320429000,0,1,2006,719,0.29,01Oct2006,01Apr2007
2,1201535184789000,0,1,2006,773,0.1,01Jun2006,01Jan2007
2,1201535193779000,0,1,2007,639,0.28,01May2007,01Jul2008
2,1201535350039000,0,1,2006,796,0.35,01Nov2006,01Apr2012
0,1201535688239000,0,0,2007,615,0.17,01Nov2007,
2,1201536284439000,0,1,2007,767,1.08,01Apr2007,01Dec2010
2,1201536293699000,0,1,2009,808,0.18,01May2009,01Jan2011
1,1201536430279000,1,0,2007,779,0.53,01Aug2007,01Jun2009
0,1201537609539000,0,0,2006,744,0.43,01Aug2006,
0,1201539096989000,0,0,2007,680,0.35,01Mar2007,
0,1201539412659000,0,0,2006,748,0.15,01Dec2006,
1,1201539427099000,1,0,2008,592,0.33,01Jan2008,01Jan2009
2,1201539542519000,0,1,2007,675,0.26,01Oct2007,01May2009
2,1201539568239000,0,1,2007,727,0.37,01Jun2007,01Jan2011
0,1201540925209000,0,0,2007,710,0.36,01May2007,
0,1201541770709000,0,0,2007,746,0.16,01Sep2007,
1,1201542202519000,1,0,2008,687,0.21,01Jan2008,01Aug2009
0,1201543131369000,0,0,2007,694,0.27,01Jul2007,
2,1201543949349000,0,1,2007,791,0.26,01Jun2007,01Jun2009
1,1201544090799000,1,0,2008,810,0.38,01Mar2008,01Feb2011
0,1201544102719000,0,0,2007,784,0.47,01Jul2007,
2,1201544118209000,0,1,2007,786,0.4,01Apr2007,01May2012
0,1201545340199000,0,0,2008,796,0.25,01Oct2008,
0,1201545820219000,0,0,2011,703,0.26,01Sep2011,
0,1201548878689000,0,0,2010,718,0.42,01Aug2010,
0,1201551256949000,0,0,2008,706,0.54,01Apr2008,
2,1201551273288000,0,1,2006,0,0,01Aug2007,01Feb2012
1,1201551274258000,1,0,2007,0,0,01Aug2007,01Jan2009
1,1201551277788000,1,0,2007,0,0,01Aug2007,01Feb2009
1,1201551282008000,1,0,2007,0,0,01Aug2007,01Mar2010
0,1201551284568000,0,0,2007,0,0,01Aug2007,
1,1201553542009000,1,0,2008,653,0.46,01Sep2008,01Nov2009
0,1201554762769000,0,0,2010,748,0.27,01Dec2010,
0,1201556340689000,0,0,2008,712,0.3,01Dec2008,
0,1201573555499000,0,0,2009,685,0.24,01Jun2009,
0,1201577771769000,0,0,2010,806,0.26,01Aug2010,
0,1201579131269000,0,0,2012,697,0.16,01Aug2012,
0,1201580164979000,0,0,2010,809,0.35,01Apr2010,
0,1201589682349000,0,0,2011,770,0.15,01Sep2011,
2,1201593767649000,0,1,2012,742,0.48,01Jan2012,01Aug2012
2,1206501661999000,0,1,1996,722,0,01Dec2005,01Jul2006
2,1212508420839000,0,1,2005,806,0.1,01Dec2005,01Feb2006
1,1212508995819000,1,0,1996,580,0.17,01Dec2005,01Nov2006
2,1212509235719000,0,1,1997,655,0.4,01Dec2005,01Dec2007
2,1212509349728000,0,1,1996,,0,01Dec2005,01Jan2006
2,1212509351978000,0,1,1996,,0,01Dec2005,01Jan2006
2,1213504030109000,0,1,1998,638,0.18,01Dec2005,01Jan2006
0,1215504262389000,0,0,2000,657,0.26,01Dec2005,
2,1217501317229000,0,1,1998,747,0.52,01Dec2005,01Mar2007
2,1219504562619000,0,1,2000,634,0.4,01Dec2005,01Mar2008
2,1219505670989000,0,1,1999,786,0.28,01Dec2005,01Jun2007
2,1219505671609000,0,1,1999,748,0.18,01Dec2005,01Jan2006
2,1220500331009000,0,1,1995,786,0.24,01Dec2005,01Mar2006
2,1222501988239000,0,1,2004,716,0.11,01Dec2005,01Jan2006
2,1225500231069000,0,1,1991,,0,01Dec2005,01Jan2006
2,1225500483629000,0,1,1996,601,0.3,01Dec2005,01Dec2008
2,1225501092489000,0,1,2001,748,0.34,01Dec2005,01Jan2006
2,1225501642579000,0,1,2000,717,0.34,01Dec2005,01Jan2006
1,1225504156919000,1,0,1999,657,0.33,01Dec2005,01Feb2008
2,1226503769109000,0,1,2002,756,0.24,01Dec2005,01Mar2012
2,1227502233739010,0,1,1998,771,0.24,01Dec2005,01Jan2006
2,1230507760896000,0,1,1994,,0,01Dec2005,01Jun2009
0,1232502565889000,0,0,2007,801,0.33,01Apr2007,
2,1233500111419000,0,1,1998,667,0.24,01Dec2005,01Jan2006
2,1234501268189000,0,1,2003,728,0.18,01Dec2005,01Jan2006
2,1235505297409000,0,1,2000,596,0.37,01Dec2005,01Oct2009
0,1235505484199010,0,0,2007,656,0.55,01Mar2007,
2,1235505593058000,0,1,1994,,0,01Dec2005,01Jan2006
2,1235509267589000,0,1,2006,715,0.2,01Jun2006,01Aug2007
2,1237500824169000,0,1,2006,670,0.46,01Jul2006,01Dec2007
2,1243501833069000,0,1,2001,737,0.29,01Dec2005,01Jan2006
2,1243501861869000,0,1,2001,703,0.37,01Dec2005,01Jan2006
2,1247500580089000,0,1,2005,802,0.51,01Dec2005,01Jan2006
2,1249500566729000,0,1,1996,649,0.23,01Dec2005,01Jan2006
2,1250503163099000,0,1,1999,690,0.21,01Dec2005,01Jan2006
2,1250503489289000,0,1,2003,715,0.31,01Dec2005,01Apr2006
2,1254501400259000,0,1,2000,645,0.24,01Dec2005,01May2008
2,1255501307538000,0,1,1997,,0,01Dec2005,01Jan2006
2,1256505743239000,0,1,1996,614,0.34,01Dec2005,01Feb2008
2,1256505753979000,0,1,1996,770,0.22,01Dec2005,01Jan2006
2,1256511291378000,0,1,1991,,0,01Dec2005,01Jan2006
0,1256512791479000,0,0,2011,743,0.38,01May2011,
2,1256512887749000,0,1,2000,746,0.15,01Dec2005,01Feb2010
2,1257502990459000,0,1,2001,751,0.17,01Dec2005,01Jan2006
2,1258500488309000,0,1,1998,720,0.15,01Dec2005,01Oct2008
2,1259500653859000,0,1,2001,641,0.14,01Dec2005,01Jan2006
2,1262500660989000,0,1,2000,625,0.35,01Dec2005,01Oct2010
2,1263500901759000,0,1,1999,673,0.18,01Dec2005,01Apr2007
2,1266500743289000,0,1,2005,810,0.42,01Dec2005,01Jan2006
2,1266500758129000,0,1,2000,779,0.22,01Dec2005,01Jan2006
